Designator,Mid X,Mid Y,Rotation,Layer
C1,26.000mm,52.300mm,0.0,Top
C2,26.000mm,58.300mm,0.0,Top
Q1,21.000mm,38.000mm,180.0,Top
Q2,21.000mm,44.000mm,180.0,Top
Q3,21.000mm,62.000mm,180.0,Top
Q4,21.000mm,68.000mm,180.0,Top
R1,17.000mm,14.000mm,0.0,Top
R2,24.000mm,16.200mm,0.0,Top
R3,17.000mm,20.000mm,0.0,Top
R4,24.000mm,22.200mm,0.0,Top
R5,17.000mm,26.000mm,0.0,Top
R6,24.000mm,28.200mm,0.0,Top
R7,17.000mm,32.000mm,0.0,Top
R8,24.000mm,34.200mm,0.0,Top
R9,26.000mm,40.300mm,0.0,Top
R10,31.000mm,38.000mm,0.0,Top
R11,26.000mm,46.300mm,0.0,Top
R12,31.000mm,44.000mm,0.0,Top
R13,20.000mm,50.000mm,0.0,Top
R14,20.000mm,56.000mm,0.0,Top
R15,26.000mm,64.300mm,0.0,Top
R16,31.000mm,62.000mm,0.0,Top
R17,26.000mm,70.300mm,0.0,Top
R18,31.000mm,68.000mm,0.0,Top
R19,103.000mm,28.000mm,0.0,Top
R20,92.000mm,30.200mm,0.0,Top
R21,103.000mm,34.000mm,0.0,Top
R22,92.000mm,36.200mm,0.0,Top
R23,103.000mm,52.000mm,0.0,Top
R24,92.000mm,54.200mm,0.0,Top
R25,103.000mm,58.000mm,0.0,Top
R26,92.000mm,60.200mm,0.0,Top
R27,103.000mm,76.000mm,0.0,Top
R28,92.000mm,78.200mm,0.0,Top
U_RGB,68.000mm,102.500mm,0.0,Top
C3,72.500mm,100.500mm,0.0,Top
